Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.6944,0.6732,0.7377,0.7140
2,0.7006,0.6777,0.7099,0.6861
3,0.7284,0.7180,0.7315,0.7193
4,0.7407,0.7150,0.7377,0.7174
5,0.7006,0.6790,0.7068,0.6775
6,0.7407,0.7277,0.7346,0.7217
7,0.7284,0.7142,0.7438,0.7342
8,0.7160,0.6918,0.7037,0.6860
9,0.7130,0.7088,0.7253,0.7185
10,0.7346,0.7190,0.7160,0.6974
