Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7500,0.2589,0.7487,0.1560,0.7510,0.3621,0.7509,0.3572,0.7824,0.0702,0.9661,0.5048
2,0.009901,0.7486,0.2538,0.7472,0.1505,0.7496,0.3547,0.7495,0.3491,0.7807,0.0710,0.9670,0.5078
3,0.009901,0.7462,0.2560,0.7449,0.1495,0.7472,0.3566,0.7472,0.3510,0.7825,0.0737,0.9601,0.4713
4,0.009901,0.7489,0.2554,0.7476,0.1582,0.7499,0.3608,0.7499,0.3563,0.7822,0.0701,0.9661,0.5023
5,0.009901,0.7447,0.2501,0.7434,0.1464,0.7457,0.3499,0.7457,0.3444,0.7826,0.0711,0.9681,0.5389
6,0.009901,0.7481,0.2532,0.7469,0.1552,0.7491,0.3585,0.7491,0.3548,0.7828,0.0716,0.9694,0.5432
7,0.009901,0.7466,0.2535,0.7453,0.1506,0.7476,0.3577,0.7476,0.3532,0.7818,0.0722,0.9683,0.5315
8,0.009901,0.7491,0.2563,0.7478,0.1543,0.7501,0.3596,0.7501,0.3546,0.7815,0.0709,0.9613,0.4831
9,0.009901,0.7419,0.2469,0.7407,0.1471,0.7429,0.3443,0.7429,0.3394,0.7821,0.0716,0.9708,0.5665
10,0.009901,0.7475,0.2554,0.7463,0.1556,0.7485,0.3575,0.7485,0.3529,0.7825,0.0719,0.9650,0.4955
