Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.7981,0.7988,0.8237,0.8242
2,0.6763,0.6107,0.6795,0.6076
3,0.8045,0.8044,0.8301,0.8302
4,0.8045,0.8042,0.8109,0.8113
5,0.8109,0.8100,0.8301,0.8304
6,0.8013,0.8001,0.8237,0.8233
7,0.7853,0.7855,0.8269,0.8274
8,0.7532,0.7560,0.7981,0.7987
9,0.8173,0.8164,0.8365,0.8364
10,0.7885,0.7864,0.8205,0.8200
