Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.5241,0.0106,0.5450,0.0113
2,0.009901,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.5028,0.0103,0.5360,0.0109
3,0.009901,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5053,0.0100,0.5452,0.0112
4,0.009901,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5046,0.0100,0.5424,0.0113
5,0.009901,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5075,0.0101,0.5315,0.0109
6,0.009901,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.4888,0.0096,0.5341,0.0110
7,0.009901,0.4997,0.0099,0.4997,0.0099,0.4997,0.0099,0.4997,0.0099,0.5138,0.0105,0.5503,0.0117
8,0.009901,0.4993,0.0099,0.4993,0.0099,0.4993,0.0099,0.4993,0.0099,0.5129,0.0102,0.5317,0.0108
9,0.009901,0.5014,0.0099,0.5014,0.0099,0.5014,0.0100,0.5014,0.0100,0.4944,0.0099,0.5441,0.0111
10,0.009901,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5126,0.0104,0.5327,0.0111
