Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.4903,0.0096,0.6095,0.0141
2,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4830,0.0094,0.6472,0.0167
3,0.009901,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.4941,0.0098,0.6009,0.0132
4,0.009901,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.4902,0.0098,0.5674,0.0121
5,0.009901,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.5061,0.0100,0.6042,0.0136
6,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.5227,0.0104,0.6746,0.0190
7,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5033,0.0099,0.7678,0.0446
8,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4935,0.0099,0.6335,0.0160
9,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4945,0.0098,0.6056,0.0140
10,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4924,0.0097,0.6105,0.0144
