Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5002,0.0099,0.5002,0.0099,0.5002,0.0099,0.5002,0.0099,0.4852,0.0095,0.6079,0.0139
2,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4827,0.0094,0.6440,0.0166
3,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.4910,0.0098,0.5967,0.0131
4,0.009901,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.4906,0.0098,0.5679,0.0121
5,0.009901,0.4997,0.0099,0.4997,0.0099,0.4997,0.0099,0.4997,0.0099,0.5049,0.0100,0.6061,0.0138
6,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.5200,0.0104,0.6761,0.0198
7,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5037,0.0099,0.7679,0.0449
8,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4937,0.0099,0.6310,0.0157
9,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4955,0.0098,0.6063,0.0141
10,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4927,0.0097,0.6000,0.0137
