Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5011,0.0099,0.5011,0.0099,0.5011,0.0099,0.5011,0.0099,0.5296,0.0108,0.5865,0.0130
2,0.009901,0.4997,0.0099,0.4997,0.0099,0.4997,0.0099,0.4997,0.0099,0.5100,0.0103,0.5763,0.0130
3,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.5026,0.0099,0.5800,0.0128
4,0.009901,0.4990,0.0099,0.4990,0.0099,0.4990,0.0099,0.4990,0.0099,0.5126,0.0104,0.5779,0.0127
5,0.009901,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5181,0.0107,0.5913,0.0133
6,0.009901,0.5010,0.0099,0.5010,0.0099,0.5010,0.0099,0.5010,0.0099,0.5045,0.0104,0.5872,0.0130
7,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5139,0.0101,0.5874,0.0129
8,0.009901,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5144,0.0103,0.5802,0.0127
9,0.009901,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5147,0.0109,0.5902,0.0130
10,0.009901,0.5004,0.0099,0.5004,0.0099,0.5004,0.0099,0.5004,0.0099,0.5097,0.0103,0.5764,0.0124
