Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5263,0.0108,0.5843,0.0129
2,0.009901,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.5231,0.0108,0.5830,0.0131
3,0.009901,0.5002,0.0099,0.5002,0.0099,0.5002,0.0099,0.5002,0.0099,0.5077,0.0102,0.5834,0.0130
4,0.009901,0.4991,0.0099,0.4991,0.0099,0.4991,0.0099,0.4991,0.0099,0.5130,0.0104,0.5813,0.0130
5,0.009901,0.5004,0.0099,0.5004,0.0099,0.5004,0.0099,0.5004,0.0099,0.5138,0.0104,0.5878,0.0132
6,0.009901,0.5014,0.0099,0.5014,0.0099,0.5014,0.0099,0.5014,0.0099,0.5027,0.0104,0.5947,0.0135
7,0.009901,0.5003,0.0099,0.5003,0.0099,0.5004,0.0099,0.5004,0.0099,0.5194,0.0105,0.5912,0.0132
8,0.009901,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5043,0.0099,0.5766,0.0125
9,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.5036,0.0101,0.5864,0.0131
10,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.4897,0.0097,0.5741,0.0123
