Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.9024,0.9019,0.8902,0.8903
2,0.9085,0.9070,0.8720,0.8715
3,0.8963,0.8961,0.8628,0.8628
4,0.9146,0.9138,0.8659,0.8659
5,0.8994,0.8982,0.8689,0.8687
6,0.9085,0.9083,0.8750,0.8753
7,0.8963,0.8955,0.8689,0.8689
8,0.9055,0.9044,0.8598,0.8594
9,0.9055,0.9050,0.8689,0.8683
10,0.9177,0.9181,0.8659,0.8658
