Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.8994,0.8998,0.8811,0.8809
2,0.8994,0.8987,0.8750,0.8749
3,0.9024,0.9013,0.8659,0.8649
4,0.9085,0.9082,0.8720,0.8727
5,0.9055,0.9046,0.8720,0.8721
6,0.9146,0.9147,0.8750,0.8751
7,0.8841,0.8836,0.8689,0.8688
8,0.8994,0.8973,0.8659,0.8657
9,0.9085,0.9077,0.8689,0.8686
10,0.9085,0.9087,0.8720,0.8718
