Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5004,0.0099,0.5004,0.0099,0.5004,0.0099,0.5004,0.0099,0.5056,0.0099,0.6443,0.0168
2,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.8400,0.0703
3,0.009901,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.4837,0.0094,0.5254,0.0106
4,0.009901,0.5013,0.0099,0.4996,0.0098,0.5021,0.0100,0.5021,0.0100,0.5174,0.0106,0.5117,0.0103
5,0.009901,0.5012,0.0099,0.5012,0.0099,0.5011,0.0099,0.5011,0.0099,0.5145,0.0103,0.5271,0.0108
6,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.8291,0.0647
7,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.8351,0.0702
8,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.4983,0.0099,0.8016,0.0525
9,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5023,0.0100,0.5858,0.0127
10,0.009901,0.5010,0.0101,0.5010,0.0099,0.5010,0.0100,0.5010,0.0100,0.4945,0.0096,0.5248,0.0106
