Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.8841,0.8827,0.4360,0.3987
2,0.8780,0.8792,0.3720,0.3586
3,0.8537,0.8559,0.3537,0.2692
4,0.8841,0.8847,0.3628,0.3338
5,0.8872,0.8872,0.3902,0.3630
6,0.8720,0.8704,0.4878,0.4726
7,0.8720,0.8719,0.4055,0.3615
8,0.8780,0.8768,0.4116,0.3770
9,0.8445,0.8415,0.4024,0.3391
10,0.8902,0.8897,0.3720,0.3226
