Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7561,0.2665,0.7548,0.1601,0.7572,0.3728,0.7572,0.3680,0.7857,0.0710,0.9740,0.6009
2,0.009901,0.7556,0.2639,0.7542,0.1559,0.7567,0.3708,0.7567,0.3661,0.7844,0.0717,0.9733,0.5798
3,0.009901,0.7537,0.2688,0.7524,0.1591,0.7547,0.3746,0.7547,0.3694,0.7858,0.0744,0.9719,0.5714
4,0.009901,0.7559,0.2685,0.7546,0.1653,0.7569,0.3768,0.7569,0.3730,0.7861,0.0708,0.9755,0.6106
5,0.009901,0.7540,0.2617,0.7526,0.1539,0.7551,0.3701,0.7551,0.3656,0.7855,0.0720,0.9705,0.5562
6,0.009901,0.7552,0.2608,0.7539,0.1587,0.7563,0.3733,0.7563,0.3713,0.7857,0.0724,0.9674,0.5184
7,0.009901,0.7527,0.2633,0.7514,0.1593,0.7537,0.3715,0.7537,0.3681,0.7847,0.0729,0.9716,0.5662
8,0.009901,0.7560,0.2666,0.7547,0.1616,0.7570,0.3742,0.7570,0.3704,0.7847,0.0716,0.9660,0.5155
9,0.009901,0.7509,0.2590,0.7496,0.1542,0.7520,0.3629,0.7520,0.3587,0.7857,0.0720,0.9677,0.5214
10,0.009901,0.7532,0.2651,0.7519,0.1606,0.7542,0.3703,0.7542,0.3661,0.7854,0.0728,0.9736,0.5969
