Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7630,0.2764,0.7615,0.1634,0.7641,0.3896,0.7641,0.3862,0.7899,0.0721,0.9689,0.5340
2,0.009901,0.7624,0.2761,0.7609,0.1647,0.7635,0.3883,0.7635,0.3852,0.7898,0.0728,0.9760,0.6168
3,0.009901,0.7629,0.2794,0.7614,0.1646,0.7640,0.3931,0.7640,0.3893,0.7897,0.0754,0.9750,0.6047
4,0.009901,0.7637,0.2803,0.7622,0.1688,0.7648,0.3963,0.7648,0.3937,0.7901,0.0719,0.9785,0.6483
5,0.009901,0.7640,0.2781,0.7624,0.1640,0.7651,0.3940,0.7651,0.3910,0.7899,0.0735,0.9741,0.6016
6,0.009901,0.7633,0.2762,0.7619,0.1638,0.7645,0.3940,0.7645,0.3924,0.7901,0.0732,0.9702,0.5479
7,0.009901,0.7631,0.2773,0.7616,0.1689,0.7641,0.3912,0.7642,0.3889,0.7900,0.0741,0.9760,0.6115
8,0.009901,0.7633,0.2761,0.7619,0.1655,0.7645,0.3916,0.7645,0.3891,0.7901,0.0728,0.9701,0.5500
9,0.009901,0.7634,0.2771,0.7619,0.1649,0.7645,0.3885,0.7645,0.3848,0.7904,0.0733,0.9779,0.6443
10,0.009901,0.7634,0.2785,0.7620,0.1671,0.7645,0.3912,0.7645,0.3882,0.7903,0.0738,0.9690,0.5344
