Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6960,0.1778,0.6952,0.1102,0.6967,0.2497,0.6967,0.2436,0.7592,0.0662,0.9385,0.3259
2,0.009901,0.7001,0.1890,0.6993,0.1161,0.7007,0.2531,0.7007,0.2455,0.7586,0.0656,0.9421,0.3356
3,0.009901,0.6989,0.1887,0.6981,0.1169,0.6995,0.2549,0.6995,0.2470,0.7570,0.0690,0.9440,0.3641
4,0.009901,0.6927,0.1814,0.6919,0.1129,0.6934,0.2465,0.6934,0.2368,0.7564,0.0670,0.9429,0.3523
5,0.009901,0.6989,0.1911,0.6980,0.1139,0.6995,0.2554,0.6994,0.2460,0.7575,0.0674,0.9463,0.3649
6,0.009901,0.7017,0.1866,0.7009,0.1167,0.7024,0.2513,0.7024,0.2425,0.7578,0.0675,0.9459,0.3793
7,0.009901,0.7020,0.1955,0.7013,0.1225,0.7026,0.2622,0.7026,0.2535,0.7589,0.0665,0.9456,0.3704
8,0.009901,0.6960,0.1838,0.6952,0.1152,0.6966,0.2469,0.6965,0.2383,0.7582,0.0670,0.9482,0.3814
9,0.009901,0.7001,0.1831,0.6993,0.1131,0.7008,0.2492,0.7008,0.2421,0.7596,0.0668,0.9449,0.3573
10,0.009901,0.7001,0.1836,0.6992,0.1119,0.7007,0.2516,0.7007,0.2442,0.7573,0.0681,0.9447,0.3741
