Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6829,0.1687,0.6822,0.1047,0.6834,0.2209,0.6834,0.2121,0.7487,0.0629,0.9364,0.3168
2,0.009901,0.6829,0.1676,0.6821,0.1003,0.6834,0.2211,0.6834,0.2117,0.7488,0.0649,0.9357,0.3131
3,0.009901,0.6817,0.1655,0.6810,0.1034,0.6822,0.2168,0.6821,0.2088,0.7485,0.0670,0.9348,0.2984
4,0.009901,0.6840,0.1687,0.6833,0.1065,0.6845,0.2223,0.6845,0.2124,0.7483,0.0643,0.9351,0.3115
5,0.009901,0.6786,0.1601,0.6779,0.0956,0.6792,0.2111,0.6791,0.2022,0.7514,0.0653,0.9307,0.2778
6,0.009901,0.6862,0.1692,0.6855,0.1094,0.6867,0.2221,0.6867,0.2140,0.7513,0.0660,0.9331,0.2987
7,0.009901,0.6821,0.1603,0.6814,0.0992,0.6827,0.2193,0.6827,0.2127,0.7489,0.0661,0.9358,0.3057
8,0.009901,0.6879,0.1767,0.6872,0.1106,0.6884,0.2311,0.6884,0.2222,0.7492,0.0646,0.9332,0.3180
9,0.009901,0.6794,0.1645,0.6787,0.1014,0.6799,0.2154,0.6798,0.2056,0.7511,0.0653,0.9384,0.3423
10,0.009901,0.6832,0.1689,0.6826,0.1074,0.6838,0.2286,0.6838,0.2208,0.7501,0.0648,0.9333,0.2972
