Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.7438,0.7306,0.7438,0.7323
2,0.7315,0.7131,0.7222,0.7098
3,0.7438,0.7280,0.7407,0.7296
4,0.7438,0.7273,0.7531,0.7400
5,0.7469,0.7338,0.7315,0.7199
6,0.7315,0.7137,0.7346,0.7168
7,0.7407,0.7364,0.7377,0.7323
8,0.7253,0.7101,0.7222,0.7088
9,0.7222,0.7094,0.7315,0.7202
10,0.7469,0.7313,0.7377,0.7246
