Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.7500,0.7395,0.7469,0.7352
2,0.7531,0.7339,0.7407,0.7288
3,0.7562,0.7389,0.7377,0.7234
4,0.7562,0.7426,0.7469,0.7359
5,0.7593,0.7451,0.7407,0.7295
6,0.7346,0.7176,0.7407,0.7249
7,0.7407,0.7389,0.7346,0.7298
8,0.7315,0.7255,0.7284,0.7223
9,0.7315,0.7261,0.7469,0.7416
10,0.7407,0.7267,0.7469,0.7351
