Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5147,0.0102,0.5727,0.0122
2,0.009901,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.5044,0.0103,0.5963,0.0134
3,0.009901,0.4997,0.0099,0.4997,0.0099,0.4997,0.0099,0.4997,0.0099,0.4932,0.0095,0.5550,0.0116
4,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.5050,0.0100,0.5524,0.0114
5,0.009901,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5128,0.0102,0.5713,0.0123
6,0.009901,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.4968,0.0099,0.6001,0.0133
7,0.009901,0.5001,0.0099,0.5001,0.0100,0.5001,0.0099,0.5001,0.0099,0.4988,0.0098,0.6645,0.0177
8,0.009901,0.4997,0.0099,0.4997,0.0099,0.4997,0.0099,0.4997,0.0099,0.5016,0.0098,0.5778,0.0124
9,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5040,0.0100,0.5839,0.0127
10,0.009901,0.5002,0.0099,0.5002,0.0099,0.5002,0.0099,0.5002,0.0099,0.4930,0.0096,0.5570,0.0116
