Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.4116,0.3768,0.4146,0.3645
2,0.3780,0.3131,0.3720,0.3210
3,0.3689,0.3143,0.3902,0.3280
4,0.4055,0.3851,0.3780,0.3550
5,0.3811,0.2984,0.3689,0.2914
6,0.4024,0.3340,0.4207,0.3602
7,0.4055,0.3762,0.4329,0.4041
8,0.4177,0.3950,0.4177,0.3924
9,0.3994,0.3447,0.4024,0.3446
10,0.3963,0.3371,0.3811,0.3081
