Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5009,0.0099,0.5009,0.0099,0.5009,0.0099,0.5009,0.0099,0.5180,0.0103,0.5687,0.0121
2,0.009901,0.4996,0.0099,0.4996,0.0099,0.4996,0.0099,0.4996,0.0099,0.4987,0.0101,0.5716,0.0124
3,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4966,0.0096,0.5715,0.0123
4,0.009901,0.4989,0.0099,0.4989,0.0099,0.4989,0.0099,0.4989,0.0099,0.5079,0.0101,0.5738,0.0124
5,0.009901,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5087,0.0101,0.5809,0.0126
6,0.009901,0.5010,0.0099,0.5010,0.0099,0.5010,0.0099,0.5010,0.0099,0.4984,0.0101,0.5887,0.0131
7,0.009901,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.4970,0.0096,0.5778,0.0125
8,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5048,0.0099,0.5759,0.0125
9,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5128,0.0105,0.5873,0.0129
10,0.009901,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5005,0.0099,0.5651,0.0119
