Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6208,0.1431,0.6206,0.1051,0.6208,0.1539,0.6208,0.1465,0.7292,0.0843,0.9373,0.4108
2,0.009901,0.6216,0.1496,0.6215,0.1105,0.6216,0.1609,0.6216,0.1530,0.7237,0.0840,0.9387,0.4130
3,0.009901,0.6168,0.1355,0.6167,0.1000,0.6169,0.1507,0.6168,0.1445,0.7272,0.0779,0.9474,0.4998
4,0.009901,0.6222,0.1465,0.6221,0.1100,0.6223,0.1593,0.6222,0.1508,0.7303,0.0806,0.9472,0.4905
5,0.009901,0.6202,0.1478,0.6200,0.1098,0.6202,0.1621,0.6202,0.1541,0.7269,0.0830,0.9393,0.4219
6,0.009901,0.6220,0.1458,0.6219,0.1092,0.6220,0.1580,0.6220,0.1511,0.7288,0.0781,0.9443,0.4406
7,0.009901,0.6152,0.1313,0.6150,0.1006,0.6152,0.1441,0.6152,0.1385,0.7267,0.0824,0.9436,0.4608
8,0.009901,0.6205,0.1463,0.6204,0.1061,0.6205,0.1539,0.6205,0.1447,0.7292,0.0832,0.9443,0.4512
9,0.009901,0.6144,0.1366,0.6142,0.1016,0.6144,0.1479,0.6144,0.1400,0.7328,0.0830,0.9341,0.3762
10,0.009901,0.6183,0.1397,0.6182,0.1033,0.6184,0.1528,0.6183,0.1446,0.7233,0.0817,0.9406,0.4312
