Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6196,0.1452,0.6195,0.1105,0.6196,0.1598,0.6196,0.1503,0.7280,0.0841,0.9441,0.4591
2,0.009901,0.6290,0.1578,0.6289,0.1189,0.6291,0.1748,0.6291,0.1674,0.7264,0.0863,0.9440,0.4680
3,0.009901,0.6274,0.1540,0.6273,0.1158,0.6275,0.1697,0.6275,0.1624,0.7353,0.0817,0.9480,0.4866
4,0.009901,0.6242,0.1482,0.6241,0.1128,0.6243,0.1636,0.6242,0.1569,0.7311,0.0793,0.9505,0.5086
5,0.009901,0.6244,0.1469,0.6242,0.1081,0.6245,0.1639,0.6244,0.1574,0.7313,0.0836,0.9526,0.4963
6,0.009901,0.6289,0.1561,0.6288,0.1166,0.6289,0.1688,0.6289,0.1611,0.7350,0.0837,0.9535,0.5275
7,0.009901,0.6295,0.1609,0.6294,0.1184,0.6295,0.1764,0.6295,0.1678,0.7345,0.0818,0.9450,0.4413
8,0.009901,0.6261,0.1564,0.6260,0.1158,0.6261,0.1678,0.6261,0.1596,0.7331,0.0849,0.9479,0.4751
9,0.009901,0.6327,0.1579,0.6326,0.1167,0.6328,0.1704,0.6328,0.1622,0.7350,0.0858,0.9441,0.4291
10,0.009901,0.6335,0.1633,0.6333,0.1205,0.6335,0.1756,0.6335,0.1666,0.7345,0.0869,0.9458,0.4337
