Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.5137,0.0103,0.5745,0.0123
2,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5001,0.0099,0.7590,0.0335
3,0.009901,0.4991,0.0099,0.4991,0.0099,0.4991,0.0099,0.4991,0.0098,0.5020,0.0099,0.5077,0.0100
4,0.009901,0.5063,0.0100,0.5063,0.0100,0.5065,0.0101,0.5065,0.0100,0.5012,0.0098,0.5261,0.0107
5,0.009901,0.4993,0.0099,0.4993,0.0099,0.4994,0.0099,0.4994,0.0099,0.4956,0.0099,0.5121,0.0104
6,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.7666,0.0397
7,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.7472,0.0302
8,0.009901,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5099,0.0102,0.6017,0.0140
9,0.009901,0.5015,0.0100,0.5015,0.0100,0.5015,0.0100,0.5015,0.0100,0.4997,0.0098,0.5428,0.0111
10,0.009901,0.5011,0.0099,0.5011,0.0099,0.5011,0.0100,0.5011,0.0099,0.5070,0.0103,0.5112,0.0105
