Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.5141,0.0103,0.5720,0.0123
2,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.7589,0.0335
3,0.009901,0.4990,0.0099,0.4990,0.0099,0.4989,0.0099,0.4989,0.0098,0.4979,0.0098,0.5072,0.0101
4,0.009901,0.5068,0.0100,0.5066,0.0100,0.5071,0.0101,0.5071,0.0101,0.5059,0.0100,0.5244,0.0107
5,0.009901,0.4996,0.0099,0.4996,0.0099,0.4996,0.0099,0.4996,0.0099,0.4943,0.0098,0.5097,0.0103
6,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.7664,0.0395
7,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.7478,0.0304
8,0.009901,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5096,0.0102,0.6065,0.0143
9,0.009901,0.5013,0.0099,0.5013,0.0099,0.5013,0.0100,0.5013,0.0100,0.4905,0.0097,0.5420,0.0111
10,0.009901,0.5012,0.0099,0.5012,0.0100,0.5012,0.0100,0.5012,0.0099,0.5036,0.0102,0.5127,0.0105
