Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7368,0.2389,0.7356,0.1446,0.7376,0.3322,0.7376,0.3260,0.7765,0.0689,0.9665,0.5240
2,0.009901,0.7384,0.2362,0.7372,0.1403,0.7393,0.3292,0.7393,0.3223,0.7757,0.0697,0.9587,0.4325
3,0.009901,0.7336,0.2373,0.7324,0.1427,0.7344,0.3285,0.7344,0.3216,0.7752,0.0728,0.9549,0.4281
4,0.009901,0.7364,0.2361,0.7353,0.1470,0.7373,0.3336,0.7373,0.3281,0.7756,0.0694,0.9690,0.5579
5,0.009901,0.7349,0.2353,0.7337,0.1390,0.7358,0.3269,0.7358,0.3201,0.7769,0.0707,0.9602,0.4653
6,0.009901,0.7346,0.2359,0.7334,0.1456,0.7355,0.3294,0.7355,0.3240,0.7768,0.0706,0.9651,0.5030
7,0.009901,0.7366,0.2356,0.7354,0.1413,0.7375,0.3314,0.7375,0.3267,0.7757,0.0713,0.9605,0.4535
8,0.009901,0.7384,0.2429,0.7372,0.1469,0.7392,0.3368,0.7392,0.3297,0.7756,0.0695,0.9576,0.4531
9,0.009901,0.7306,0.2333,0.7295,0.1411,0.7315,0.3201,0.7314,0.3128,0.7761,0.0709,0.9637,0.4948
10,0.009901,0.7350,0.2378,0.7339,0.1443,0.7359,0.3317,0.7359,0.3258,0.7770,0.0704,0.9639,0.5017
