Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7556,0.2633,0.7541,0.1563,0.7566,0.3712,0.7566,0.3666,0.7854,0.0711,0.9731,0.5845
2,0.009901,0.7537,0.2621,0.7523,0.1572,0.7547,0.3670,0.7547,0.3627,0.7852,0.0718,0.9729,0.5760
3,0.009901,0.7508,0.2654,0.7494,0.1582,0.7518,0.3714,0.7518,0.3661,0.7843,0.0748,0.9736,0.5940
4,0.009901,0.7536,0.2648,0.7522,0.1605,0.7546,0.3740,0.7546,0.3700,0.7847,0.0711,0.9693,0.5399
5,0.009901,0.7573,0.2651,0.7558,0.1550,0.7584,0.3766,0.7584,0.3725,0.7858,0.0725,0.9711,0.5693
6,0.009901,0.7548,0.2612,0.7534,0.1560,0.7559,0.3723,0.7559,0.3692,0.7849,0.0723,0.9661,0.5114
7,0.009901,0.7544,0.2667,0.7531,0.1633,0.7554,0.3722,0.7554,0.3684,0.7855,0.0730,0.9738,0.5884
8,0.009901,0.7560,0.2672,0.7546,0.1598,0.7571,0.3759,0.7571,0.3714,0.7860,0.0718,0.9685,0.5359
9,0.009901,0.7544,0.2622,0.7529,0.1539,0.7555,0.3662,0.7555,0.3612,0.7858,0.0725,0.9750,0.6101
10,0.009901,0.7533,0.2630,0.7520,0.1584,0.7544,0.3690,0.7544,0.3645,0.7863,0.0730,0.9726,0.5831
