Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5559,0.0325,0.5555,0.0179,0.5558,0.0286,0.5558,0.0248,0.7785,0.0654,0.6694,0.0206
2,0.009901,0.5560,0.0322,0.5557,0.0180,0.5560,0.0286,0.5560,0.0249,0.7729,0.0641,0.6599,0.0281
3,0.009901,0.5566,0.0311,0.5563,0.0182,0.5566,0.0274,0.5566,0.0241,0.7805,0.0664,0.6741,0.0270
4,0.009901,0.5527,0.0286,0.5524,0.0171,0.5527,0.0261,0.5526,0.0235,0.7712,0.0636,0.6588,0.0207
5,0.009901,0.5567,0.0324,0.5564,0.0181,0.5567,0.0306,0.5567,0.0267,0.7719,0.0668,0.6584,0.0241
6,0.009901,0.5599,0.0361,0.5595,0.0195,0.5598,0.0324,0.5598,0.0275,0.7697,0.0666,0.6722,0.0294
7,0.009901,0.5567,0.0331,0.5564,0.0182,0.5567,0.0293,0.5567,0.0251,0.7773,0.0649,0.6536,0.0196
8,0.009901,0.5589,0.0327,0.5586,0.0188,0.5589,0.0296,0.5589,0.0263,0.7714,0.0663,0.6584,0.0236
9,0.009901,0.5593,0.0335,0.5589,0.0188,0.5592,0.0303,0.5592,0.0263,0.7727,0.0672,0.6646,0.0276
10,0.009901,0.5608,0.0346,0.5604,0.0193,0.5607,0.0311,0.5607,0.0272,0.7742,0.0696,0.6739,0.0317
