Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5567,0.0328,0.5564,0.0183,0.5566,0.0287,0.5566,0.0252,0.7738,0.0652,0.6780,0.0234
2,0.009901,0.5556,0.0352,0.5553,0.0181,0.5556,0.0293,0.5555,0.0244,0.7723,0.0657,0.6521,0.0205
3,0.009901,0.5609,0.0343,0.5606,0.0190,0.5609,0.0299,0.5609,0.0263,0.7798,0.0660,0.6603,0.0208
4,0.009901,0.5608,0.0374,0.5604,0.0194,0.5607,0.0323,0.5607,0.0268,0.7715,0.0663,0.6633,0.0261
5,0.009901,0.5566,0.0325,0.5563,0.0180,0.5565,0.0281,0.5565,0.0247,0.7721,0.0672,0.6523,0.0210
6,0.009901,0.5516,0.0337,0.5513,0.0170,0.5515,0.0285,0.5515,0.0236,0.7759,0.0655,0.6810,0.0265
7,0.009901,0.5595,0.0351,0.5591,0.0190,0.5594,0.0308,0.5594,0.0265,0.7802,0.0630,0.6575,0.0209
8,0.009901,0.5548,0.0362,0.5545,0.0179,0.5548,0.0302,0.5547,0.0243,0.7688,0.0648,0.6569,0.0216
9,0.009901,0.5591,0.0340,0.5588,0.0191,0.5590,0.0303,0.5590,0.0264,0.7708,0.0659,0.6540,0.0255
10,0.009901,0.5535,0.0305,0.5532,0.0173,0.5535,0.0279,0.5535,0.0240,0.7704,0.0675,0.6806,0.0253
