Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.8205,0.8207,0.8397,0.8408
2,0.8237,0.8236,0.8397,0.8405
3,0.8333,0.8332,0.8365,0.8375
4,0.8173,0.8178,0.8397,0.8410
5,0.8269,0.8268,0.8429,0.8440
6,0.8205,0.8203,0.8494,0.8502
7,0.8205,0.8205,0.8365,0.8372
8,0.8269,0.8268,0.8429,0.8432
9,0.8269,0.8266,0.8397,0.8407
10,0.8269,0.8272,0.8397,0.8405
