Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.7981,0.7980,0.8333,0.8346
2,0.8269,0.8268,0.8429,0.8435
3,0.8173,0.8171,0.8365,0.8377
4,0.8045,0.8043,0.8301,0.8308
5,0.8301,0.8300,0.8301,0.8310
6,0.8013,0.8010,0.8429,0.8438
7,0.8237,0.8238,0.8333,0.8341
8,0.8173,0.8173,0.8301,0.8304
9,0.7981,0.7983,0.8205,0.8213
10,0.8077,0.8075,0.8365,0.8374
