Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5012,0.0100,0.5012,0.0099,0.5012,0.0100,0.5012,0.0100,0.5302,0.0113,0.6501,0.0195
2,0.009901,0.5020,0.0100,0.5020,0.0100,0.5020,0.0100,0.5020,0.0100,0.5302,0.0113,0.6589,0.0219
3,0.009901,0.5009,0.0099,0.5009,0.0099,0.5009,0.0099,0.5009,0.0099,0.5308,0.0111,0.6659,0.0228
4,0.009901,0.5011,0.0099,0.5011,0.0100,0.5011,0.0100,0.5011,0.0100,0.5217,0.0108,0.6373,0.0187
5,0.009901,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5364,0.0131,0.6601,0.0221
6,0.009901,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.5467,0.0117,0.6708,0.0213
7,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.5243,0.0111,0.6566,0.0217
8,0.009901,0.5010,0.0099,0.5010,0.0100,0.5010,0.0099,0.5010,0.0099,0.5313,0.0114,0.6521,0.0208
9,0.009901,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.5224,0.0107,0.6416,0.0194
10,0.009901,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5232,0.0110,0.6529,0.0199
