Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5014,0.0100,0.5014,0.0100,0.5014,0.0100,0.5014,0.0100,0.5326,0.0112,0.6433,0.0179
2,0.009901,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.5217,0.0111,0.6528,0.0220
3,0.009901,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5261,0.0110,0.6649,0.0205
4,0.009901,0.5013,0.0100,0.5013,0.0100,0.5013,0.0100,0.5013,0.0100,0.5399,0.0119,0.6423,0.0196
5,0.009901,0.5004,0.0099,0.5004,0.0099,0.5004,0.0099,0.5004,0.0099,0.5320,0.0118,0.6565,0.0226
6,0.009901,0.5011,0.0099,0.5011,0.0099,0.5011,0.0099,0.5011,0.0099,0.5507,0.0118,0.6672,0.0220
7,0.009901,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5330,0.0116,0.6617,0.0228
8,0.009901,0.5008,0.0099,0.5008,0.0099,0.5008,0.0099,0.5008,0.0099,0.5212,0.0110,0.6473,0.0181
9,0.009901,0.5004,0.0099,0.5004,0.0099,0.5004,0.0099,0.5004,0.0099,0.5288,0.0113,0.6448,0.0190
10,0.009901,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.5007,0.0099,0.5208,0.0144,0.6510,0.0208
