Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5034,0.0101,0.5033,0.0100,0.5034,0.0100,0.5034,0.0100,0.6167,0.0204,0.5633,0.0128
2,0.009901,0.5052,0.0102,0.5051,0.0100,0.5051,0.0103,0.5051,0.0103,0.6013,0.0215,0.5558,0.0121
3,0.009901,0.5047,0.0101,0.5046,0.0100,0.5047,0.0101,0.5047,0.0101,0.6077,0.0213,0.5673,0.0132
4,0.009901,0.5040,0.0101,0.5040,0.0100,0.5040,0.0101,0.5040,0.0101,0.5956,0.0186,0.5724,0.0130
5,0.009901,0.5039,0.0101,0.5039,0.0100,0.5039,0.0100,0.5039,0.0100,0.6049,0.0202,0.5691,0.0139
6,0.009901,0.5027,0.0100,0.5027,0.0100,0.5027,0.0100,0.5027,0.0100,0.5919,0.0161,0.5684,0.0124
7,0.009901,0.5028,0.0100,0.5027,0.0099,0.5028,0.0100,0.5028,0.0100,0.6127,0.0200,0.5764,0.0131
8,0.009901,0.5026,0.0100,0.5026,0.0099,0.5026,0.0100,0.5026,0.0100,0.6041,0.0190,0.5581,0.0120
9,0.009901,0.5054,0.0102,0.5054,0.0101,0.5054,0.0101,0.5054,0.0101,0.5937,0.0207,0.5643,0.0122
10,0.009901,0.5037,0.0102,0.5037,0.0100,0.5037,0.0101,0.5037,0.0101,0.6128,0.0213,0.5622,0.0125
