Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.8902,0.8906,0.8110,0.8110
2,0.8872,0.8870,0.8049,0.8037
3,0.9116,0.9115,0.8018,0.8003
4,0.9055,0.9047,0.8049,0.8043
5,0.9207,0.9206,0.7805,0.7798
6,0.9055,0.9061,0.7957,0.7942
7,0.8963,0.8964,0.7896,0.7892
8,0.9055,0.9047,0.8018,0.7999
9,0.8994,0.8997,0.7988,0.7997
10,0.9024,0.9022,0.8049,0.8054
