Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.7469,0.7381,0.7438,0.7358
2,0.7253,0.7128,0.7346,0.7225
3,0.7500,0.7270,0.7346,0.7227
4,0.7346,0.7116,0.7685,0.7411
5,0.7407,0.7333,0.7253,0.7146
6,0.7407,0.7240,0.7438,0.7243
7,0.7377,0.7314,0.7253,0.7170
8,0.7407,0.7323,0.7377,0.7318
9,0.7407,0.7256,0.7377,0.7244
10,0.7377,0.7253,0.7407,0.7316
