Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.7500,0.7378,0.6389,0.6288
2,0.7346,0.7140,0.6667,0.6470
3,0.7346,0.7107,0.6574,0.6335
4,0.7346,0.7237,0.7068,0.6943
5,0.7284,0.7110,0.6420,0.6198
6,0.7407,0.7348,0.6605,0.6485
7,0.7438,0.7296,0.6265,0.6132
8,0.7346,0.7276,0.6512,0.6444
9,0.7407,0.7256,0.6327,0.6148
10,0.7407,0.7340,0.6420,0.6366
