Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7026,0.2745,0.7024,0.2203,0.7028,0.3329,0.7028,0.3309,0.7782,0.1041,0.9906,0.7921
2,0.009901,0.7024,0.2772,0.7022,0.2245,0.7026,0.3341,0.7026,0.3313,0.7777,0.1065,0.9891,0.7616
3,0.009901,0.7025,0.2712,0.7023,0.2194,0.7028,0.3303,0.7028,0.3286,0.7787,0.1044,0.9902,0.7789
4,0.009901,0.7026,0.2773,0.7025,0.2291,0.7028,0.3325,0.7029,0.3308,0.7780,0.1021,0.9898,0.7743
5,0.009901,0.7025,0.2728,0.7023,0.2173,0.7028,0.3297,0.7028,0.3287,0.7777,0.1043,0.9893,0.7559
6,0.009901,0.7025,0.2792,0.7023,0.2248,0.7027,0.3336,0.7027,0.3304,0.7779,0.1062,0.9899,0.7646
7,0.009901,0.7025,0.2764,0.7023,0.2226,0.7027,0.3358,0.7027,0.3336,0.7783,0.1058,0.9910,0.7914
8,0.009901,0.7025,0.2777,0.7023,0.2235,0.7027,0.3318,0.7027,0.3285,0.7780,0.1065,0.9895,0.7706
9,0.009901,0.7024,0.2758,0.7022,0.2229,0.7026,0.3320,0.7026,0.3296,0.7785,0.1065,0.9867,0.7340
10,0.009901,0.7026,0.2749,0.7024,0.2212,0.7028,0.3288,0.7028,0.3266,0.7786,0.1043,0.9892,0.7521
