Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6998,0.2693,0.6996,0.2162,0.7000,0.3269,0.7000,0.3242,0.7767,0.1032,0.9900,0.7835
2,0.009901,0.7015,0.2750,0.7013,0.2244,0.7017,0.3317,0.7017,0.3291,0.7766,0.1056,0.9879,0.7508
3,0.009901,0.7007,0.2678,0.7005,0.2164,0.7009,0.3253,0.7009,0.3235,0.7769,0.1037,0.9883,0.7517
4,0.009901,0.7016,0.2755,0.7015,0.2270,0.7018,0.3298,0.7018,0.3276,0.7764,0.1017,0.9891,0.7665
5,0.009901,0.7018,0.2730,0.7016,0.2180,0.7020,0.3281,0.7020,0.3267,0.7762,0.1040,0.9883,0.7426
6,0.009901,0.7011,0.2773,0.7009,0.2223,0.7013,0.3304,0.7013,0.3265,0.7770,0.1055,0.9893,0.7574
7,0.009901,0.6996,0.2721,0.6994,0.2193,0.6998,0.3295,0.6998,0.3269,0.7765,0.1054,0.9915,0.7971
8,0.009901,0.7008,0.2751,0.7006,0.2215,0.7010,0.3261,0.7010,0.3224,0.7762,0.1057,0.9886,0.7611
9,0.009901,0.7004,0.2715,0.7002,0.2192,0.7006,0.3274,0.7006,0.3249,0.7776,0.1060,0.9839,0.7032
10,0.009901,0.7002,0.2712,0.7000,0.2171,0.7004,0.3244,0.7004,0.3220,0.7773,0.1038,0.9888,0.7455
