Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7022,0.2738,0.7020,0.2201,0.7025,0.3324,0.7025,0.3304,0.7779,0.1041,0.9904,0.7905
2,0.009901,0.7021,0.2772,0.7019,0.2252,0.7023,0.3337,0.7023,0.3310,0.7772,0.1065,0.9889,0.7601
3,0.009901,0.7021,0.2701,0.7019,0.2189,0.7023,0.3289,0.7023,0.3271,0.7781,0.1043,0.9898,0.7771
4,0.009901,0.7020,0.2757,0.7018,0.2276,0.7022,0.3308,0.7022,0.3294,0.7778,0.1021,0.9896,0.7723
5,0.009901,0.7019,0.2721,0.7017,0.2172,0.7021,0.3287,0.7021,0.3275,0.7772,0.1044,0.9891,0.7535
6,0.009901,0.7012,0.2772,0.7010,0.2234,0.7014,0.3314,0.7014,0.3282,0.7776,0.1061,0.9897,0.7638
7,0.009901,0.7018,0.2749,0.7016,0.2214,0.7020,0.3341,0.7020,0.3318,0.7778,0.1055,0.9908,0.7887
8,0.009901,0.7023,0.2774,0.7021,0.2235,0.7025,0.3312,0.7025,0.3278,0.7779,0.1063,0.9877,0.7442
9,0.009901,0.7016,0.2744,0.7014,0.2221,0.7018,0.3301,0.7018,0.3278,0.7781,0.1064,0.9873,0.7407
10,0.009901,0.7014,0.2738,0.7012,0.2201,0.7016,0.3270,0.7016,0.3246,0.7782,0.1043,0.9890,0.7498
