Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6914,0.2561,0.6912,0.2053,0.6916,0.3075,0.6916,0.3037,0.7711,0.1013,0.9873,0.7459
2,0.009901,0.6919,0.2582,0.6917,0.2101,0.6920,0.3093,0.6920,0.3054,0.7707,0.1044,0.9849,0.7077
3,0.009901,0.6927,0.2554,0.6925,0.2068,0.6929,0.3073,0.6929,0.3043,0.7712,0.1016,0.9859,0.7349
4,0.009901,0.6945,0.2625,0.6943,0.2140,0.6947,0.3120,0.6947,0.3081,0.7726,0.0997,0.9864,0.7334
5,0.009901,0.6932,0.2595,0.6930,0.2048,0.6934,0.3092,0.6934,0.3057,0.7701,0.1014,0.9861,0.7107
6,0.009901,0.6922,0.2614,0.6920,0.2070,0.6924,0.3096,0.6924,0.3041,0.7718,0.1032,0.9861,0.7164
7,0.009901,0.6933,0.2616,0.6931,0.2095,0.6934,0.3132,0.6934,0.3094,0.7710,0.1036,0.9872,0.7425
8,0.009901,0.6920,0.2604,0.6918,0.2093,0.6922,0.3055,0.6922,0.3004,0.7707,0.1040,0.9835,0.6942
9,0.009901,0.6926,0.2577,0.6924,0.2064,0.6928,0.3075,0.6928,0.3040,0.7732,0.1043,0.9868,0.7373
10,0.009901,0.6937,0.2601,0.6935,0.2081,0.6939,0.3109,0.6939,0.3079,0.7722,0.1017,0.9864,0.7152
