Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5025,0.0100,0.5025,0.0099,0.5025,0.0100,0.5025,0.0100,0.5718,0.0178,0.6294,0.0161
2,0.009901,0.5029,0.0100,0.5028,0.0100,0.5028,0.0100,0.5028,0.0100,0.5728,0.0155,0.6304,0.0173
3,0.009901,0.5022,0.0102,0.5022,0.0100,0.5022,0.0102,0.5022,0.0102,0.5494,0.0185,0.6204,0.0180
4,0.009901,0.5011,0.0099,0.5011,0.0099,0.5011,0.0100,0.5011,0.0100,0.5612,0.0153,0.6296,0.0171
5,0.009901,0.5032,0.0101,0.5032,0.0100,0.5032,0.0101,0.5032,0.0101,0.5596,0.0207,0.6336,0.0171
6,0.009901,0.5037,0.0101,0.5037,0.0100,0.5037,0.0101,0.5037,0.0101,0.5572,0.0172,0.6254,0.0190
7,0.009901,0.5033,0.0101,0.5033,0.0100,0.5033,0.0101,0.5033,0.0101,0.5581,0.0124,0.6346,0.0177
8,0.009901,0.5017,0.0100,0.5017,0.0099,0.5017,0.0100,0.5017,0.0100,0.5582,0.0166,0.6250,0.0162
9,0.009901,0.5034,0.0100,0.5034,0.0100,0.5034,0.0100,0.5034,0.0100,0.5666,0.0187,0.6330,0.0164
10,0.009901,0.5032,0.0100,0.5032,0.0100,0.5032,0.0100,0.5032,0.0100,0.5561,0.0166,0.6184,0.0165
