Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.7468,0.7469,0.7179,0.7187
2,0.7468,0.7448,0.7596,0.7596
3,0.7340,0.7320,0.7500,0.7499
4,0.7276,0.7259,0.7404,0.7399
5,0.7179,0.7177,0.7244,0.7251
6,0.7436,0.7446,0.7147,0.7148
7,0.7468,0.7450,0.7596,0.7604
8,0.7340,0.7326,0.7436,0.7433
9,0.7212,0.7212,0.7564,0.7561
10,0.7051,0.7038,0.7212,0.7205
