Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.7377,0.7175,0.6914,0.6752
2,0.6944,0.6660,0.3981,0.3793
3,0.7006,0.6743,0.3920,0.3580
4,0.6975,0.6710,0.3457,0.3314
5,0.7716,0.7664,0.6944,0.6946
6,0.7469,0.7236,0.7068,0.6889
7,0.7407,0.7267,0.7006,0.6836
8,0.7130,0.6835,0.3827,0.3518
9,0.7160,0.6927,0.3920,0.3729
10,0.7099,0.6810,0.3580,0.3421
