Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.8237,0.8247,0.7724,0.7722
2,0.8301,0.8298,0.7885,0.7885
3,0.8141,0.8140,0.8013,0.8013
4,0.8173,0.8183,0.7692,0.7701
5,0.8141,0.8143,0.7756,0.7754
6,0.8301,0.8303,0.7949,0.7944
7,0.8237,0.8243,0.7788,0.7808
8,0.8269,0.8271,0.7853,0.7863
9,0.8013,0.8006,0.7756,0.7735
10,0.7724,0.7744,0.7404,0.7412
