Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5002,0.0099,0.5002,0.0099,0.5002,0.0099,0.5002,0.0099,0.5024,0.0099,0.6238,0.0155
2,0.009901,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5071,0.0103,0.6330,0.0171
3,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.5068,0.0100,0.6386,0.0162
4,0.009901,0.5002,0.0099,0.5002,0.0099,0.5002,0.0099,0.5002,0.0099,0.5140,0.0106,0.6170,0.0152
5,0.009901,0.4996,0.0099,0.4996,0.0099,0.4996,0.0099,0.4996,0.0099,0.5168,0.0105,0.6369,0.0169
6,0.009901,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5323,0.0110,0.6476,0.0173
7,0.009901,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.5146,0.0105,0.6355,0.0166
8,0.009901,0.5004,0.0099,0.5004,0.0100,0.5004,0.0099,0.5004,0.0099,0.5053,0.0103,0.6342,0.0168
9,0.009901,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5110,0.0103,0.6213,0.0156
10,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.5032,0.0102,0.6387,0.0176
