Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6220,0.0894,0.6211,0.0387,0.6221,0.0975,0.6221,0.0804,0.8246,0.0793,0.7498,0.0448
2,0.009901,0.6203,0.0875,0.6194,0.0381,0.6205,0.0934,0.6204,0.0777,0.8261,0.0791,0.7347,0.0475
3,0.009901,0.6184,0.0869,0.6176,0.0386,0.6186,0.0930,0.6185,0.0762,0.8248,0.0805,0.7214,0.0699
4,0.009901,0.6141,0.0806,0.6133,0.0357,0.6143,0.0898,0.6142,0.0751,0.8249,0.0797,0.7333,0.0419
5,0.009901,0.6225,0.0867,0.6216,0.0387,0.6227,0.0978,0.6227,0.0822,0.8262,0.0812,0.7289,0.0386
6,0.009901,0.6255,0.0934,0.6246,0.0418,0.6257,0.1000,0.6256,0.0831,0.8200,0.0811,0.7471,0.0480
7,0.009901,0.6181,0.0862,0.6172,0.0378,0.6182,0.0943,0.6182,0.0794,0.8235,0.0810,0.7585,0.0426
8,0.009901,0.6207,0.0884,0.6198,0.0386,0.6208,0.0951,0.6208,0.0798,0.8239,0.0810,0.7306,0.0495
9,0.009901,0.6192,0.0872,0.6183,0.0378,0.6194,0.0930,0.6193,0.0763,0.8251,0.0816,0.7298,0.0332
10,0.009901,0.6235,0.0915,0.6226,0.0410,0.6236,0.1009,0.6235,0.0843,0.8239,0.0822,0.7411,0.0442
