Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6267,0.0925,0.6257,0.0402,0.6269,0.1007,0.6268,0.0836,0.8264,0.0797,0.7442,0.0388
2,0.009901,0.6226,0.0937,0.6217,0.0393,0.6227,0.1025,0.6226,0.0842,0.8267,0.0815,0.7385,0.0377
3,0.009901,0.6237,0.0938,0.6227,0.0390,0.6238,0.0997,0.6237,0.0814,0.8290,0.0801,0.7124,0.0644
4,0.009901,0.6280,0.0967,0.6270,0.0428,0.6280,0.1050,0.6280,0.0867,0.8254,0.0820,0.7217,0.0730
5,0.009901,0.6241,0.0958,0.6231,0.0401,0.6242,0.1052,0.6241,0.0864,0.8264,0.0815,0.7362,0.0408
6,0.009901,0.6195,0.0892,0.6186,0.0383,0.6196,0.0981,0.6195,0.0814,0.8287,0.0813,0.7400,0.0368
7,0.009901,0.6252,0.0955,0.6242,0.0416,0.6253,0.1024,0.6252,0.0845,0.8256,0.0803,0.7428,0.0361
8,0.009901,0.6209,0.0908,0.6201,0.0393,0.6211,0.0982,0.6210,0.0819,0.8263,0.0800,0.7415,0.0610
9,0.009901,0.6220,0.0890,0.6211,0.0388,0.6221,0.0968,0.6221,0.0804,0.8253,0.0807,0.7344,0.0427
10,0.009901,0.6202,0.0894,0.6192,0.0379,0.6203,0.0989,0.6203,0.0824,0.8252,0.0808,0.7234,0.0316
