Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5013,0.0099,0.5013,0.0099,0.5013,0.0099,0.5013,0.0099,0.5627,0.0124,0.5540,0.0117
2,0.009901,0.5013,0.0099,0.5012,0.0099,0.5013,0.0100,0.5013,0.0100,0.5411,0.0120,0.5466,0.0117
3,0.009901,0.5011,0.0099,0.5011,0.0099,0.5011,0.0099,0.5011,0.0099,0.5470,0.0117,0.5470,0.0118
4,0.009901,0.5008,0.0099,0.5008,0.0099,0.5008,0.0099,0.5008,0.0099,0.5442,0.0120,0.5555,0.0120
5,0.009901,0.5009,0.0099,0.5009,0.0099,0.5009,0.0099,0.5009,0.0099,0.5471,0.0124,0.5459,0.0118
6,0.009901,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5277,0.0120,0.5500,0.0117
7,0.009901,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5592,0.0133,0.5518,0.0119
8,0.009901,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5490,0.0119,0.5409,0.0113
9,0.009901,0.5020,0.0100,0.5020,0.0100,0.5020,0.0100,0.5020,0.0100,0.5351,0.0116,0.5554,0.0119
10,0.009901,0.5010,0.0099,0.5010,0.0099,0.5010,0.0099,0.5010,0.0099,0.5565,0.0126,0.5409,0.0115
