Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5013,0.0099,0.5013,0.0099,0.5013,0.0099,0.5013,0.0099,0.5660,0.0126,0.5476,0.0116
2,0.009901,0.5017,0.0099,0.5017,0.0099,0.5017,0.0100,0.5017,0.0100,0.5354,0.0116,0.5474,0.0115
3,0.009901,0.5022,0.0100,0.5022,0.0099,0.5022,0.0100,0.5022,0.0100,0.5567,0.0129,0.5530,0.0117
4,0.009901,0.5012,0.0099,0.5012,0.0099,0.5012,0.0099,0.5012,0.0099,0.5335,0.0110,0.5607,0.0119
5,0.009901,0.5013,0.0099,0.5013,0.0099,0.5013,0.0099,0.5013,0.0099,0.5538,0.0123,0.5503,0.0120
6,0.009901,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5333,0.0117,0.5472,0.0114
7,0.009901,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5605,0.0133,0.5650,0.0128
8,0.009901,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5416,0.0114,0.5432,0.0113
9,0.009901,0.5026,0.0100,0.5026,0.0100,0.5026,0.0100,0.5026,0.0100,0.5444,0.0129,0.5443,0.0112
10,0.009901,0.5013,0.0099,0.5013,0.0099,0.5013,0.0099,0.5013,0.0099,0.5548,0.0125,0.5457,0.0117
