Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.8109,0.8109,0.8173,0.8176
2,0.7788,0.7773,0.8205,0.8211
3,0.7917,0.7929,0.8173,0.8178
4,0.7981,0.7995,0.8205,0.8214
5,0.8013,0.8020,0.8269,0.8273
6,0.8109,0.8125,0.8397,0.8410
7,0.8077,0.8069,0.8301,0.8304
8,0.7821,0.7850,0.8141,0.8159
9,0.8045,0.8029,0.8494,0.8493
10,0.7949,0.7946,0.8269,0.8280
