Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7129,0.1870,0.7103,0.0690,0.7138,0.2438,0.7138,0.2336,0.8757,0.0894,0.8390,0.0977
2,0.009901,0.7130,0.1851,0.7102,0.0681,0.7138,0.2411,0.7138,0.2312,0.8764,0.0905,0.8487,0.1366
3,0.009901,0.7135,0.1870,0.7108,0.0687,0.7143,0.2445,0.7143,0.2350,0.8769,0.0911,0.8422,0.1018
4,0.009901,0.7128,0.1849,0.7101,0.0681,0.7136,0.2420,0.7137,0.2340,0.8764,0.0911,0.8532,0.1298
5,0.009901,0.7118,0.1826,0.7091,0.0671,0.7127,0.2392,0.7127,0.2303,0.8761,0.0920,0.8446,0.1039
6,0.009901,0.7136,0.1848,0.7110,0.0701,0.7145,0.2435,0.7145,0.2365,0.8767,0.0917,0.8416,0.0996
7,0.009901,0.7134,0.1859,0.7107,0.0697,0.7142,0.2435,0.7142,0.2353,0.8756,0.0919,0.8459,0.0967
8,0.009901,0.7133,0.1857,0.7106,0.0691,0.7141,0.2418,0.7141,0.2319,0.8762,0.0915,0.8333,0.1114
9,0.009901,0.7110,0.1823,0.7083,0.0673,0.7119,0.2385,0.7119,0.2298,0.8761,0.0905,0.8395,0.0936
10,0.009901,0.7133,0.1830,0.7107,0.0687,0.7142,0.2396,0.7142,0.2315,0.8766,0.0923,0.8441,0.1032
