Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.7562,0.7421,0.7438,0.7317
2,0.7377,0.7195,0.7377,0.7254
3,0.7562,0.7387,0.7407,0.7283
4,0.7685,0.7566,0.7593,0.7461
5,0.7438,0.7406,0.7469,0.7411
6,0.7377,0.7212,0.7407,0.7231
7,0.7500,0.7300,0.7407,0.7245
8,0.7315,0.7294,0.7222,0.7180
9,0.7377,0.7319,0.7469,0.7416
10,0.7407,0.7252,0.7469,0.7352
