Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5653,0.0672,0.5653,0.0465,0.5653,0.0623,0.5653,0.0587,0.6872,0.0639,0.8876,0.2958
2,0.009901,0.5697,0.0701,0.5697,0.0505,0.5697,0.0676,0.5697,0.0640,0.6818,0.0636,0.8789,0.2653
3,0.009901,0.5726,0.0745,0.5725,0.0521,0.5726,0.0724,0.5726,0.0673,0.6942,0.0613,0.8921,0.3265
4,0.009901,0.5685,0.0664,0.5685,0.0469,0.5685,0.0646,0.5685,0.0600,0.6948,0.0584,0.8800,0.2551
5,0.009901,0.5652,0.0630,0.5651,0.0437,0.5652,0.0630,0.5652,0.0600,0.6896,0.0598,0.8895,0.2954
6,0.009901,0.5611,0.0581,0.5610,0.0403,0.5611,0.0537,0.5611,0.0507,0.6926,0.0635,0.8884,0.2799
7,0.009901,0.5666,0.0690,0.5665,0.0473,0.5666,0.0635,0.5666,0.0606,0.6885,0.0592,0.8836,0.2617
8,0.009901,0.5679,0.0660,0.5679,0.0469,0.5679,0.0636,0.5679,0.0609,0.6884,0.0602,0.8830,0.2639
9,0.009901,0.5737,0.0731,0.5736,0.0495,0.5737,0.0677,0.5737,0.0639,0.6984,0.0646,0.8735,0.2206
10,0.009901,0.5692,0.0685,0.5691,0.0475,0.5692,0.0635,0.5692,0.0597,0.6925,0.0662,0.8854,0.2735
