Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.8237,0.8236,0.8429,0.8439
2,0.8237,0.8235,0.8429,0.8440
3,0.8237,0.8236,0.8429,0.8439
4,0.8205,0.8205,0.8462,0.8472
5,0.8237,0.8235,0.8397,0.8406
6,0.8173,0.8172,0.8429,0.8437
7,0.8237,0.8236,0.8494,0.8501
8,0.8205,0.8204,0.8462,0.8471
9,0.8237,0.8235,0.8429,0.8439
10,0.8269,0.8270,0.8462,0.8468
