Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6946,0.1667,0.6924,0.0631,0.6952,0.2112,0.6952,0.1948,0.8639,0.0873,0.8283,0.0924
2,0.009901,0.6947,0.1621,0.6925,0.0630,0.6953,0.2066,0.6953,0.1915,0.8630,0.0883,0.8050,0.0630
3,0.009901,0.6957,0.1691,0.6935,0.0648,0.6963,0.2144,0.6963,0.1983,0.8628,0.0895,0.8193,0.0852
4,0.009901,0.6950,0.1635,0.6927,0.0625,0.6957,0.2108,0.6957,0.1973,0.8645,0.0891,0.8282,0.1077
5,0.009901,0.6960,0.1650,0.6938,0.0638,0.6967,0.2108,0.6967,0.1965,0.8639,0.0901,0.8289,0.1080
6,0.009901,0.6973,0.1647,0.6951,0.0648,0.6980,0.2126,0.6980,0.1991,0.8643,0.0904,0.8102,0.0707
7,0.009901,0.6947,0.1666,0.6925,0.0644,0.6953,0.2114,0.6953,0.1963,0.8641,0.0898,0.8370,0.0926
8,0.009901,0.6989,0.1709,0.6966,0.0654,0.6995,0.2147,0.6995,0.1976,0.8619,0.0897,0.8135,0.0796
9,0.009901,0.6874,0.1594,0.6854,0.0605,0.6881,0.2015,0.6881,0.1866,0.8648,0.0887,0.8209,0.1058
10,0.009901,0.6971,0.1635,0.6949,0.0647,0.6978,0.2103,0.6978,0.1972,0.8622,0.0911,0.8196,0.0770
