Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5188,0.0104,0.5354,0.0110
2,0.009901,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.4856,0.0096,0.5354,0.0109
3,0.009901,0.5010,0.0099,0.5010,0.0099,0.5010,0.0099,0.5010,0.0099,0.5008,0.0098,0.5422,0.0112
4,0.009901,0.5003,0.0099,0.5004,0.0099,0.5003,0.0099,0.5003,0.0099,0.4981,0.0098,0.5376,0.0109
5,0.009901,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5001,0.0099,0.5001,0.0098,0.5238,0.0106
6,0.009901,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.4799,0.0095,0.5481,0.0113
7,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5003,0.0101,0.5580,0.0117
8,0.009901,0.4992,0.0099,0.4992,0.0099,0.4992,0.0099,0.4992,0.0099,0.5044,0.0100,0.5278,0.0107
9,0.009901,0.5015,0.0099,0.5015,0.0100,0.5015,0.0100,0.5015,0.0100,0.4901,0.0097,0.5419,0.0111
10,0.009901,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5059,0.0102,0.5265,0.0108
