Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.8933,0.8943,0.5061,0.4942
2,0.8963,0.8965,0.4482,0.4353
3,0.8841,0.8860,0.4939,0.4819
4,0.8872,0.8880,0.5000,0.4913
5,0.8963,0.8972,0.4726,0.4542
6,0.8872,0.8875,0.4939,0.4706
7,0.8720,0.8722,0.5030,0.4965
8,0.8811,0.8808,0.5000,0.4809
9,0.8841,0.8856,0.4787,0.4683
10,0.8994,0.8993,0.4756,0.4608
