Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.4756,0.4763,0.5061,0.4942
2,0.4970,0.4752,0.4482,0.4353
3,0.4695,0.4590,0.4939,0.4819
4,0.4909,0.4839,0.5000,0.4913
5,0.5030,0.4983,0.4726,0.4542
6,0.4878,0.4529,0.4939,0.4706
7,0.4268,0.4234,0.5030,0.4965
8,0.4787,0.4700,0.5000,0.4809
9,0.4756,0.4731,0.4787,0.4683
10,0.5061,0.4925,0.4756,0.4608
