Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.8902,0.8904,0.8567,0.8580
2,0.8902,0.8925,0.8476,0.8477
3,0.8933,0.8941,0.8537,0.8544
4,0.8933,0.8947,0.8506,0.8523
5,0.8933,0.8938,0.8567,0.8579
6,0.8659,0.8689,0.8506,0.8516
7,0.8780,0.8785,0.8567,0.8571
8,0.8750,0.8759,0.8628,0.8643
9,0.8963,0.8985,0.8537,0.8540
10,0.8902,0.8916,0.8689,0.8693
