Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.8365,0.8366,0.8333,0.8339
2,0.8173,0.8173,0.8494,0.8498
3,0.8077,0.8079,0.8301,0.8310
4,0.8045,0.8048,0.8429,0.8433
5,0.8237,0.8243,0.8269,0.8280
6,0.8109,0.8111,0.8558,0.8570
7,0.8109,0.8108,0.8365,0.8376
8,0.8237,0.8238,0.8558,0.8559
9,0.8205,0.8204,0.8333,0.8341
10,0.8301,0.8302,0.8397,0.8394
