Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.7692,0.7694,0.8141,0.8143
2,0.7756,0.7750,0.8237,0.8236
3,0.7692,0.7685,0.8205,0.8205
4,0.7885,0.7878,0.7917,0.7930
5,0.7885,0.7888,0.7981,0.7989
6,0.7628,0.7628,0.8237,0.8239
7,0.7981,0.7973,0.7917,0.7929
8,0.7981,0.7974,0.7917,0.7916
9,0.7885,0.7879,0.7981,0.7989
10,0.7724,0.7723,0.7821,0.7825
