Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7628,0.2756,0.7613,0.1635,0.7639,0.3886,0.7639,0.3851,0.7899,0.0720,0.9699,0.5379
2,0.009901,0.7624,0.2749,0.7609,0.1627,0.7635,0.3871,0.7635,0.3841,0.7888,0.0727,0.9771,0.6247
3,0.009901,0.7624,0.2797,0.7609,0.1653,0.7635,0.3922,0.7635,0.3882,0.7890,0.0753,0.9745,0.6010
4,0.009901,0.7641,0.2799,0.7626,0.1700,0.7652,0.3955,0.7652,0.3928,0.7897,0.0717,0.9770,0.6294
5,0.009901,0.7612,0.2740,0.7597,0.1615,0.7623,0.3882,0.7623,0.3846,0.7897,0.0732,0.9737,0.5943
6,0.009901,0.7628,0.2763,0.7613,0.1638,0.7639,0.3932,0.7639,0.3918,0.7900,0.0730,0.9691,0.5370
7,0.009901,0.7614,0.2745,0.7600,0.1676,0.7625,0.3891,0.7625,0.3869,0.7894,0.0740,0.9738,0.5851
8,0.009901,0.7635,0.2766,0.7620,0.1663,0.7646,0.3909,0.7646,0.3881,0.7894,0.0725,0.9693,0.5466
9,0.009901,0.7604,0.2718,0.7589,0.1623,0.7615,0.3828,0.7615,0.3795,0.7898,0.0730,0.9773,0.6385
10,0.009901,0.7616,0.2772,0.7602,0.1675,0.7627,0.3876,0.7627,0.3842,0.7899,0.0733,0.9686,0.5299
