Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7637,0.2780,0.7622,0.1633,0.7648,0.3916,0.7648,0.3882,0.7903,0.0722,0.9695,0.5399
2,0.009901,0.7642,0.2784,0.7627,0.1660,0.7653,0.3917,0.7653,0.3888,0.7902,0.0728,0.9764,0.6186
3,0.009901,0.7635,0.2816,0.7620,0.1657,0.7646,0.3957,0.7646,0.3919,0.7904,0.0754,0.9753,0.6083
4,0.009901,0.7642,0.2805,0.7628,0.1690,0.7654,0.3978,0.7654,0.3954,0.7904,0.0720,0.9787,0.6513
5,0.009901,0.7644,0.2797,0.7629,0.1647,0.7656,0.3953,0.7656,0.3922,0.7905,0.0736,0.9747,0.6063
6,0.009901,0.7638,0.2771,0.7623,0.1640,0.7649,0.3952,0.7649,0.3935,0.7906,0.0733,0.9704,0.5493
7,0.009901,0.7644,0.2786,0.7629,0.1694,0.7655,0.3935,0.7655,0.3915,0.7905,0.0742,0.9772,0.6254
8,0.009901,0.7640,0.2776,0.7625,0.1660,0.7651,0.3928,0.7651,0.3902,0.7905,0.0728,0.9703,0.5537
9,0.009901,0.7641,0.2780,0.7626,0.1651,0.7652,0.3905,0.7652,0.3871,0.7907,0.0733,0.9782,0.6505
10,0.009901,0.7643,0.2799,0.7628,0.1678,0.7654,0.3934,0.7654,0.3906,0.7908,0.0739,0.9757,0.6193
